Station,SID,Network,Distance_mi,Covered_years,Tmax_%,Tmin_%,Tmean_%,Precip_%,Keep
EDMOND 1.6 W,US1OKOK0003 6,GHCN,14.3,2006-2014,0,0,0,25,DROP
CRESCENT 5WSW,342242 2,COOP,14.3,1991-2020,0,0,0,94,DROP
EDMOND 1.4 WSW,US1OKOK0076 6,GHCN,14.6,2017-2020,0,0,0,1,DROP
EDMOND 5.4 W,US1OKOK0075 6,GHCN,15.2,2017-2020,0,0,0,11,DROP
EDMOND 4.1 W,US1OKOK0077 6,GHCN,15.3,2017-2020,0,0,0,10,DROP
EDMOND 6.6 W,US1OKOK0031 6,GHCN,15.6,2009-2013,0,0,0,13,DROP
ARCADIA 3 WSW,340288 2,COOP,15.9,1993-2010,0,0,0,49,DROP
EDMOND 2.6 SW,US1OKOK0111 6,GHCN,16.0,2020-2020,0,0,0,2,DROP
LUTHER 6.0 N,US1OKLG0013 6,GHCN,16.1,2013-2020,0,0,0,5,DROP
DEER CREEK,342386 2,COOP,16.2,2000-2017,0,0,0,57,DROP
EDMOND 2.5 SW,US1OKOK0108 6,GHCN,16.2,2020-2020,0,0,0,0,DROP
EDMOND 7.2 W,US1OKOK0072 6,GHCN,16.8,2017-2018,0,0,0,3,DROP
EDMOND 1.9 SE,US1OKOK0017 6,GHCN,17.1,2008-2020,0,0,0,19,DROP
EDMOND 3.7 SW,US1OKOK0098 6,GHCN,17.2,2018-2020,0,0,0,7,DROP
EDMOND 8.6 W,US1OKOK0014 6,GHCN,17.2,2007-2010,0,0,0,4,DROP
COYLE 7N MESONET,342207 2,COOP,17.5,2000-2020,39,38,38,38,DROP
EDMOND 7.3 WSW,US1OKOK0060 6,GHCN,17.5,2014-2020,0,0,0,16,DROP
ORLANDO NEAR SCS #18,346761 2,COOP,17.7,  none ,0,0,0,0,DROP
JONES 5.0 N,US1OKOK0046 6,GHCN,18.2,2012-2018,0,0,0,16,DROP
EDMOND 5ESE,342788 2,COOP,18.5,1996-2020,0,0,0,79,DROP
PERKINS 6.9 WNW,US1OKPY0026 6,GHCN,18.5,  none ,0,0,0,0,DROP
EDMOND 7.8 WSW,US1OKOK0032 6,GHCN,18.7,2009-2011,0,0,0,2,DROP
EDMOND 5.4 SW,US1OKOK0129 6,GHCN,18.9,  none ,0,0,0,0,DROP
LUTHER 1.1 NW,US1OKOK0074 6,GHCN,19.1,2017-2019,0,0,0,4,DROP
EDMOND 7.4 WSW,US1OKOK0071 6,GHCN,19.2,2016-2020,0,0,0,12,DROP
PERKINS 5.2 SW,US1OKLN0013 6,GHCN,19.2,2018-2020,0,0,0,0,DROP
MARSHALL 3SSE MESONET,345590 2,COOP,19.3,2000-2020,40,40,40,40,DROP
LUTHER,345410 2,COOP,19.3,  none ,0,0,0,0,DROP
THE VILLAGE 5.3 NNW,US1OKOK0027 6,GHCN,19.6,2008-2012,0,0,0,12,DROP
OKLAHOMA CITY 9.4 NNE,US1OKOK0065 6,GHCN,20.0,2015-2018,0,0,0,12,DROP
ORLANDO 5E MESONET,346756 2,COOP,20.1,2002-2020,37,37,37,36,DROP
LUTHER 0.7 SW,US1OKOK0004 6,GHCN,20.1,2006-2013,0,0,0,5,DROP
ORLANDO 1 NNE,346760 2,COOP,20.1,  none ,0,0,0,0,DROP
PIEDMONT 4.8 E,US1OKOK0055 6,GHCN,20.3,2013-2020,0,0,0,3,DROP
PIEDMONT 6.1 ESE,US1OKOK0138 6,GHCN,21.0,  none ,0,0,0,0,DROP
STILLWATER 5.2 WSW,US1OKPY0021 6,GHCN,21.3,2019-2020,0,0,0,3,DROP
OKLAHOMA CITY 8.7 NNW,US1OKOK0042 6,GHCN,21.3,2012-2013,0,0,0,1,DROP
PERKINS 2.5 SW,US1OKPY0017 6,GHCN,21.4,2016-2018,0,0,0,4,DROP
